"repository","path","scope","github_compare_change_type","logical_20260714_baseline_state","github_base_anchor","github_head","current_blob_sha1","claim_boundary"
"MassyuRed/mashos-api","ai/docs/Cocolon_EmlisAI_NLSv2_AllSteps_Audit_Correction_20260713.md","NLS_V2_ALREADY_REFLECTED_20260714","added","already_reflected_in_20260714_premise","d81865a4bf952cbc091171fb52913d34156f4e9c (GitHub transport comparison anchor; not asserted byte-identical to local ZIP baseline)","25b98ec8b59eaff717d1dc3261ff21156ccce7ed","e3555f2a255ee7ea5bf710fb6d0b25acb79d0482","Already represented by eai714_diff.csv; retained only to explain the GitHub transport-comparison filter."
"MassyuRed/mashos-api","ai/docs/Cocolon_EmlisAI_NLSv2_S10_S11_Blocked_Result_20260713.md","NLS_V2_ALREADY_REFLECTED_20260714","modified","already_reflected_in_20260714_premise","d81865a4bf952cbc091171fb52913d34156f4e9c (GitHub transport comparison anchor; not asserted byte-identical to local ZIP baseline)","25b98ec8b59eaff717d1dc3261ff21156ccce7ed","f64b2dec5195d56a13a5547d335b34403c6748cc","Already represented by eai714_diff.csv; retained only to explain the GitHub transport-comparison filter."
"MassyuRed/mashos-api","ai/docs/Cocolon_EmlisAI_NLSv2_S12_S13_DeviceCheck_Blocked_Result_20260713.md","NLS_V2_ALREADY_REFLECTED_20260714","added","already_reflected_in_20260714_premise","d81865a4bf952cbc091171fb52913d34156f4e9c (GitHub transport comparison anchor; not asserted byte-identical to local ZIP baseline)","25b98ec8b59eaff717d1dc3261ff21156ccce7ed","f24a5bc3672b14a197e3a19940e3e2c8498eb0f1","Already represented by eai714_diff.csv; retained only to explain the GitHub transport-comparison filter."
"MassyuRed/mashos-api","ai/docs/Cocolon_EmlisAI_NLSv2_S2_S3_Result_20260713.md","NLS_V2_ALREADY_REFLECTED_20260714","modified","already_reflected_in_20260714_premise","d81865a4bf952cbc091171fb52913d34156f4e9c (GitHub transport comparison anchor; not asserted byte-identical to local ZIP baseline)","25b98ec8b59eaff717d1dc3261ff21156ccce7ed","3d7f2f2065c6386730f4181b0d995a1bf4ad9f62","Already represented by eai714_diff.csv; retained only to explain the GitHub transport-comparison filter."
"MassyuRed/mashos-api","ai/docs/Cocolon_EmlisAI_NLSv2_S4_S5_Result_20260713.md","NLS_V2_ALREADY_REFLECTED_20260714","modified","already_reflected_in_20260714_premise","d81865a4bf952cbc091171fb52913d34156f4e9c (GitHub transport comparison anchor; not asserted byte-identical to local ZIP baseline)","25b98ec8b59eaff717d1dc3261ff21156ccce7ed","a7702831d510cd849ccbdcb1733bd52bd9507a75","Already represented by eai714_diff.csv; retained only to explain the GitHub transport-comparison filter."
"MassyuRed/mashos-api","ai/docs/Cocolon_EmlisAI_NLSv2_S6_S7_Result_20260713.md","NLS_V2_ALREADY_REFLECTED_20260714","modified","already_reflected_in_20260714_premise","d81865a4bf952cbc091171fb52913d34156f4e9c (GitHub transport comparison anchor; not asserted byte-identical to local ZIP baseline)","25b98ec8b59eaff717d1dc3261ff21156ccce7ed","87b15b3e3392cc1df704b37eb9f66b3fe4b52b0c","Already represented by eai714_diff.csv; retained only to explain the GitHub transport-comparison filter."
"MassyuRed/mashos-api","ai/docs/Cocolon_EmlisAI_NLSv3_Batch001_Freeze_Result_20260714.md","NLS_V3_STEP0_10_CORE","added","new_or_modified_since_20260714_premise","d81865a4bf952cbc091171fb52913d34156f4e9c (GitHub transport comparison anchor; not asserted byte-identical to local ZIP baseline)","25b98ec8b59eaff717d1dc3261ff21156ccce7ed","d2ef6b54cabc557b9f23945b07b5fab0a7969510","NLS v3 offline/disconnected evidence or implementation path; does not claim Cycle 001 acceptance, production connection, E4, or Cycle 002."
"MassyuRed/mashos-api","ai/docs/Cocolon_EmlisAI_NLSv3_Step0_Step1_Result_20260714.md","NLS_V3_STEP0_10_CORE","added","new_or_modified_since_20260714_premise","d81865a4bf952cbc091171fb52913d34156f4e9c (GitHub transport comparison anchor; not asserted byte-identical to local ZIP baseline)","25b98ec8b59eaff717d1dc3261ff21156ccce7ed","9bf9eb90b0dfe6253dbbdc4d9e31f32b593a749a","NLS v3 offline/disconnected evidence or implementation path; does not claim Cycle 001 acceptance, production connection, E4, or Cycle 002."
"MassyuRed/mashos-api","ai/docs/Cocolon_EmlisAI_NLSv3_Step2_Result_20260714.md","NLS_V3_STEP0_10_CORE","added","new_or_modified_since_20260714_premise","d81865a4bf952cbc091171fb52913d34156f4e9c (GitHub transport comparison anchor; not asserted byte-identical to local ZIP baseline)","25b98ec8b59eaff717d1dc3261ff21156ccce7ed","1f5717265c0e3a1d486af7b9c9ed00f423bfaa2e","NLS v3 offline/disconnected evidence or implementation path; does not claim Cycle 001 acceptance, production connection, E4, or Cycle 002."
"MassyuRed/mashos-api","ai/docs/Cocolon_EmlisAI_NLSv3_Step3_Result_20260715.md","NLS_V3_STEP0_10_CORE","added","new_or_modified_since_20260714_premise","d81865a4bf952cbc091171fb52913d34156f4e9c (GitHub transport comparison anchor; not asserted byte-identical to local ZIP baseline)","25b98ec8b59eaff717d1dc3261ff21156ccce7ed","cc6318c22f1d454bd5a5ea567392201b52beb7dd","NLS v3 offline/disconnected evidence or implementation path; does not claim Cycle 001 acceptance, production connection, E4, or Cycle 002."
"MassyuRed/mashos-api","ai/services/ai_inference/emlis_ai_body_semantic_atom_parser_v3.py","NLS_V3_SUPPORT","added","new_or_modified_since_20260714_premise","d81865a4bf952cbc091171fb52913d34156f4e9c (GitHub transport comparison anchor; not asserted byte-identical to local ZIP baseline)","25b98ec8b59eaff717d1dc3261ff21156ccce7ed","1fcea670c5e706ece6334a773110cd414f81e1af","NLS v3 offline/disconnected evidence or implementation path; does not claim Cycle 001 acceptance, production connection, E4, or Cycle 002."
"MassyuRed/mashos-api","ai/services/ai_inference/emlis_ai_bounded_recovery_v3.py","NLS_V3_SUPPORT","added","new_or_modified_since_20260714_premise","d81865a4bf952cbc091171fb52913d34156f4e9c (GitHub transport comparison anchor; not asserted byte-identical to local ZIP baseline)","25b98ec8b59eaff717d1dc3261ff21156ccce7ed","51e1fe37ac57fc7344dc8533040fe6f1d08b64d5","NLS v3 offline/disconnected evidence or implementation path; does not claim Cycle 001 acceptance, production connection, E4, or Cycle 002."
"MassyuRed/mashos-api","ai/services/ai_inference/emlis_ai_canonical_renderer_v3.py","NLS_V3_SUPPORT","added","new_or_modified_since_20260714_premise","d81865a4bf952cbc091171fb52913d34156f4e9c (GitHub transport comparison anchor; not asserted byte-identical to local ZIP baseline)","25b98ec8b59eaff717d1dc3261ff21156ccce7ed","ea4f2dd66d699876c219873a17931fa6dcf45f0b","NLS v3 offline/disconnected evidence or implementation path; does not claim Cycle 001 acceptance, production connection, E4, or Cycle 002."
"MassyuRed/mashos-api","ai/services/ai_inference/emlis_ai_content_selection_v3.py","NLS_V3_SUPPORT","added","new_or_modified_since_20260714_premise","d81865a4bf952cbc091171fb52913d34156f4e9c (GitHub transport comparison anchor; not asserted byte-identical to local ZIP baseline)","25b98ec8b59eaff717d1dc3261ff21156ccce7ed","7172a628f5ecdfb6ba888c36d42a6a62d0d7c22e","NLS v3 offline/disconnected evidence or implementation path; does not claim Cycle 001 acceptance, production connection, E4, or Cycle 002."
