status,path,kind,step_range,role,claim_boundary
added,mashos-api/ai/services/ai_inference/emlis_ai_p7_r54_ahr_current_snapshot_actual_review_reentry_20260628.py,service_helper,CS00-CS18,current snapshot actual review re-entry body-free helper,helper_or_target_green_is_not_actual_human_review_complete_or_release_allowed
added,mashos-api/ai/tests/test_r54_ahr_current_snapshot_actual_review_reentry_cs00_cs01_20260628.py,target_test,CS00-CS01,target contract validation for R54-AHR-CS body-free boundary,helper_or_target_green_is_not_actual_human_review_complete_or_release_allowed
added,mashos-api/ai/tests/test_r54_ahr_current_snapshot_actual_review_reentry_cs02_cs03_20260628.py,target_test,CS02-CS03,target contract validation for R54-AHR-CS body-free boundary,helper_or_target_green_is_not_actual_human_review_complete_or_release_allowed
added,mashos-api/ai/tests/test_r54_ahr_current_snapshot_actual_review_reentry_cs04_cs05_20260628.py,target_test,CS04-CS05,target contract validation for R54-AHR-CS body-free boundary,helper_or_target_green_is_not_actual_human_review_complete_or_release_allowed
added,mashos-api/ai/tests/test_r54_ahr_current_snapshot_actual_review_reentry_cs06_cs07_20260628.py,target_test,CS06-CS07,target contract validation for R54-AHR-CS body-free boundary,helper_or_target_green_is_not_actual_human_review_complete_or_release_allowed
added,mashos-api/ai/tests/test_r54_ahr_current_snapshot_actual_review_reentry_cs08_cs09_20260628.py,target_test,CS08-CS09,target contract validation for R54-AHR-CS body-free boundary,helper_or_target_green_is_not_actual_human_review_complete_or_release_allowed
added,mashos-api/ai/tests/test_r54_ahr_current_snapshot_actual_review_reentry_cs10_cs11_20260628.py,target_test,CS10-CS11,target contract validation for R54-AHR-CS body-free boundary,helper_or_target_green_is_not_actual_human_review_complete_or_release_allowed
added,mashos-api/ai/tests/test_r54_ahr_current_snapshot_actual_review_reentry_cs12_cs13_20260628.py,target_test,CS12-CS13,target contract validation for R54-AHR-CS body-free boundary,helper_or_target_green_is_not_actual_human_review_complete_or_release_allowed
added,mashos-api/ai/tests/test_r54_ahr_current_snapshot_actual_review_reentry_cs14_cs15_20260628.py,target_test,CS14-CS15,target contract validation for R54-AHR-CS body-free boundary,helper_or_target_green_is_not_actual_human_review_complete_or_release_allowed
added,mashos-api/ai/tests/test_r54_ahr_current_snapshot_actual_review_reentry_cs16_cs17_20260628.py,target_test,CS16-CS17,target contract validation for R54-AHR-CS body-free boundary,helper_or_target_green_is_not_actual_human_review_complete_or_release_allowed
added,mashos-api/ai/tests/test_r54_ahr_current_snapshot_actual_review_reentry_cs18_20260628.py,target_test,CS18,target contract validation for R54-AHR-CS body-free boundary,helper_or_target_green_is_not_actual_human_review_complete_or_release_allowed
added,mashos-api/ai/tests/R54_AHR_CS00_CS01_CurrentSnapshotActualReviewReentry_Result_20260628.md,result_memo,CS00-CS01,body-free result memo / validation reading boundary,helper_or_target_green_is_not_actual_human_review_complete_or_release_allowed
added,mashos-api/ai/tests/R54_AHR_CS02_CS03_CurrentSnapshotActualReviewReentry_Result_20260628.md,result_memo,CS02-CS03,body-free result memo / validation reading boundary,helper_or_target_green_is_not_actual_human_review_complete_or_release_allowed
added,mashos-api/ai/tests/R54_AHR_CS04_CS05_CurrentSnapshotActualReviewReentry_Result_20260628.md,result_memo,CS04-CS05,body-free result memo / validation reading boundary,helper_or_target_green_is_not_actual_human_review_complete_or_release_allowed
added,mashos-api/ai/tests/R54_AHR_CS06_CS07_CurrentSnapshotActualReviewReentry_Result_20260628.md,result_memo,CS06-CS07,body-free result memo / validation reading boundary,helper_or_target_green_is_not_actual_human_review_complete_or_release_allowed
added,mashos-api/ai/tests/R54_AHR_CS08_CS09_CurrentSnapshotActualReviewReentry_Result_20260628.md,result_memo,CS08-CS09,body-free result memo / validation reading boundary,helper_or_target_green_is_not_actual_human_review_complete_or_release_allowed
added,mashos-api/ai/tests/R54_AHR_CS10_CS11_CurrentSnapshotActualReviewReentry_Result_20260628.md,result_memo,CS10-CS11,body-free result memo / validation reading boundary,helper_or_target_green_is_not_actual_human_review_complete_or_release_allowed
added,mashos-api/ai/tests/R54_AHR_CS12_CS13_CurrentSnapshotActualReviewReentry_Result_20260628.md,result_memo,CS12-CS13,body-free result memo / validation reading boundary,helper_or_target_green_is_not_actual_human_review_complete_or_release_allowed
added,mashos-api/ai/tests/R54_AHR_CS14_CS15_CurrentSnapshotActualReviewReentry_Result_20260628.md,result_memo,CS14-CS15,body-free result memo / validation reading boundary,helper_or_target_green_is_not_actual_human_review_complete_or_release_allowed
added,mashos-api/ai/tests/R54_AHR_CS16_CS17_CurrentSnapshotActualReviewReentry_Result_20260628.md,result_memo,CS16-CS17,body-free result memo / validation reading boundary,helper_or_target_green_is_not_actual_human_review_complete_or_release_allowed
added,mashos-api/ai/tests/R54_AHR_CS18_CurrentSnapshotActualReviewReentry_Result_20260628.md,result_memo,CS18,body-free result memo / validation reading boundary,helper_or_target_green_is_not_actual_human_review_complete_or_release_allowed
