repo,change_type,path,old_size,new_size,old_sha256,new_sha256,premise_update_reason
mashos-api,added,ai/tests/test_emlis_ai_complete_initial_surface_recomposition_body_free_p7.py,,11506,,f552de6318012194e5f873a1039b819acb411b15fd1344e59d08a74d4460562c,EmlisAI D source-unavailable recovery focused regression / body-free existing gate coverage
mashos-api,added,ai/tests/test_emlis_ai_complete_initial_surface_recomposition_existing_gate_chain_p8.py,,4349,,db5fc6f4aa30fc35cba1c1e1505821852a95a8564560382199a7f71f47530c16,EmlisAI D source-unavailable recovery focused regression / body-free existing gate coverage
mashos-api,added,ai/tests/test_emlis_ai_d_source_unavailable_normal_observation_recovery.py,,18983,,d9a5aee9cc9b15c6774e422c978a280bf36900d9ee27955c416620d8af50c6e5,EmlisAI D source-unavailable recovery focused regression / body-free existing gate coverage
mashos-api,changed,ai/services/ai_inference/emlis_ai_complete_initial_surface_availability.py,36575,42841,570da6a4a215cf475b411d7dca8633bf87910d214019e24690a4302c4b111e29,16a280727728ec8b3a194d47bb6c15de98317ac5d4e978d8fc8707e33a561ca2,EmlisAI D source-unavailable normal observation recovery implementation boundary
mashos-api,changed,ai/services/ai_inference/emlis_ai_complete_initial_surface_recomposition.py,42039,47437,137a9c201ac4a2eb3879343b3463e795dd5f3174fe9eb906f7b86baa763e2e3a,8c492e29607578d58ad0344d4f9ce480958fb25d6b71e51bdbfa0a3a2d0e645e,EmlisAI D source-unavailable normal observation recovery implementation boundary
mashos-api,changed,ai/services/ai_inference/emlis_ai_gate_recovery_public_candidate_builder.py,105761,106602,2a367e8258da9e7ddb214dac5db99e5cfc9d33f6224287c2c0b617778034c0c4,6182fb521e9720cce25f31b7a47fdb622de3d82d132effd77b9aa8c9342b107b,EmlisAI D source-unavailable normal observation recovery implementation boundary
mashos-api,changed,ai/services/ai_inference/emlis_ai_public_surface_requirement.py,38887,42733,8229233b65c91e743df5d8db2dfaaf8bd5c6e894319e6ba9a20f7097ced36d0e,a2751715dfbe8329314654c6b00771e79f28f7c14275c37dc68ea7ead2d3939a,EmlisAI D source-unavailable normal observation recovery implementation boundary
mashos-api,changed,ai/services/ai_inference/emlis_ai_reply_service.py,416623,436641,9253ab1eb631531651a8d82b39881188cdc2df8e6a04ccc25b4fcaf856493753,21d1625c4a5bb2b8131d5c3436a9011606a59e545fff4b64ae5c4bcd6b645a5b,EmlisAI D source-unavailable normal observation recovery implementation boundary
mashos-api,changed,ai/tests/test_emlis_ai_complete_initial_surface_availability_p4.py,9026,27194,7eb434f5e4493ee7b33a18bda99775310c19f185d8b4f652ca3f48126ceaf6a2,85c984cf5e4bb169472cb7f79d9b81fb65bf7d722a89b7e3d2a319cdabcadb7f,EmlisAI D source-unavailable normal observation recovery implementation boundary
mashos-api,changed,ai/tests/test_emlis_ai_complete_initial_surface_recomposition_p5.py,8243,15260,e66514da2f629a3809b30baab3f6969cf86489f1207f2b5e6c09a0d24f73f7cf,82625a09c33366826d8840e430d80ecb2ac0227e2ab0f2191a76c31e97cb03b6,EmlisAI D source-unavailable normal observation recovery implementation boundary
mashos-api,changed,ai/tests/test_emlis_ai_public_surface_requirement_p1.py,8806,14046,8024f9fa35a317a421f23b8a0ed2f90d107b5e9165ad8e474afeac73070c6c4f,1d627c069b533fd13ae44a03a72ecd0792e7502c6d3631974a3bb3ce2815fecc,EmlisAI D source-unavailable normal observation recovery implementation boundary
